DBUID,empl.idx,pharm.idx,child.idx,health.idx,groc.idx,edupri.idx,edusec.idx,lib.idx,parks.idx,trans.idx,close
59153900004,0.0529,0.0229,0.0502,0.0078,,0.1596,0.2057,,0.0758,0.0048,0
59153900006,0.0527,0.0235,0.0652,0.008,,0.205,0.2643,,0.1345,0.0034,0
59153900007,0.0555,,0.0342,0.0056,,0.08,0.1031,,0.0804,0.0014,0
59153900008,0.0495,0.0098,0.0379,0.0068,,0.0861,0.111,,0.0392,0.0035,0
59153901001,0.0527,0.0288,0.0574,0.008,,0.0842,0.1086,,0.0114,0.0072,0
59153902001,0.0481,0.0128,0.0856,0.0084,,0.0847,0.1091,,0.0587,0.0105,0
59153902002,0.0514,0.0098,0.0732,0.0079,,0.0789,0.1016,,0.0383,0.0124,0
59153902003,0.0491,0.0117,0.08,0.0086,,0.0808,0.1042,,0.0584,0.01,0
59153903001,0.0525,0.027,0.0863,0.0117,,0.0408,0.0526,,0.0941,0.0056,0
59153903002,0.0497,0.0235,0.0882,0.0096,,0.0335,0.0432,,0.0529,0.0011,0
59153904001,0.054,0.0242,0.071,0.0117,,0.0696,0.0897,,0.1384,0.0078,0
59153904002,0.0512,0.0231,0.0684,0.0103,,0.0696,0.0897,,0.1333,0.0103,0
59153905001,0.0333,0.0205,0.0473,0.0054,,0.1201,0.2004,,0.1694,0.0033,0
59153905002,0.0307,0.062,0.0433,0.0058,,0.0483,0.0622,,0.1291,0.0021,0
59153905003,0.0325,0.0725,0.0465,0.0063,0.0212,0.0574,0.1087,,0.1637,0.0026,0
59153905004,0.0325,0.0842,0.0478,0.0059,0.0219,0.0825,0.1419,,0.1442,0.0025,0
59153906002,0.0262,0.032,0.0419,0.0038,,0.0574,0.0739,,0.1276,0.0027,0
59153906004,0.028,0.0232,0.0333,0.0072,,0.0471,0.0607,,0.0961,0.0025,0
59153906006,0.0286,0.0201,0.0297,0.0063,,0.0421,0.0542,,0.0811,0.0025,0
59153907001,0.0309,0.0139,0.0697,0.0043,,0.0649,0.0837,,0.0977,0.0043,0
59153908001,0.016,,0.0335,0.0079,,0.038,0.0831,,0.0762,0.0069,0
59153908002,0.0152,,0.0295,0.0072,,0.0894,0.1644,,0.1155,0.0058,0
59153908003,0.0161,0.0064,0.036,0.0079,,0.0954,0.1678,0.0504,0.1374,0.0108,0
59153909001,0.0165,0.0075,0.0226,0.0059,,0.0641,0.1428,,0.0351,0.002,0
59153909002,0.0186,0.0073,0.0116,0.0056,,0.0445,0.116,,0.1807,0.001,0
59153909003,0.0198,,0.0131,0.0064,,0.0465,0.1101,,0.2125,0.0007,0
59153909004,0.0162,0.0107,0.0176,0.0052,,0.038,0.1342,,0.0334,0.0007,0
59153909005,0.0155,0.0094,0.0118,0.0032,,0.0276,0.1108,,0.0295,0.0002,0
59153909006,0.0158,0.0103,0.0069,0.0037,,,0.0823,,0.0323,0.0002,0
59153909007,0.0176,0.0233,0.0058,0.0072,,0.0295,0.1464,,0.1056,0.0017,0
59153910001,0.0186,0.0144,0.0049,0.0058,,0.0587,0.1324,,0.2926,0.0023,0
59153910002,0.0204,0.018,0.0206,0.0071,,0.0645,0.1381,,0.3223,0.0054,0
59153910003,0.0206,0.0082,0.0091,0.0059,,0.0319,0.0789,,0.128,0.0007,0
59153910004,0.0215,0.0094,0.0157,0.007,,,0.0351,,0.1449,0.0012,0
59153910005,0.0215,0.009,0.0154,0.0074,,0.0272,0.0697,,0.187,0.0015,0
59153910006,0.0222,0.0064,0.0137,0.0091,,0.0621,0.1174,,0.273,0.0033,0
59153910007,0.0186,,0.0061,0.0055,,0.0366,0.0901,,0.1303,0.0,0
59153911001,0.0613,,0.0213,0.003,,0.1178,0.2068,,0.0874,0.0038,0
59153911002,0.0601,0.0066,0.02,0.0036,,0.1238,0.2092,,0.0724,0.0036,0
59153912002,0.0576,0.0066,0.0116,0.0026,,0.1307,0.2091,,0.05,0.0021,0
59153912003,0.055,,0.0101,0.0027,,0.0695,0.125,,0.0286,0.0014,0
59153912004,0.0604,0.0334,0.0165,0.0027,,0.0644,0.083,,0.076,0.0044,0
59153913001,0.0543,,0.0096,0.0024,,0.1415,0.2165,,0.039,0.0005,0
59153913002,0.0536,,0.016,0.0019,,0.1747,0.2634,,0.0476,0.0021,0
59153914001,0.0551,,0.0057,0.0038,,0.0674,0.0869,,0.0771,0.002,0
59153915001,0.0705,0.0762,0.0708,0.01,0.0345,0.0314,0.0404,0.1883,0.0471,0.0251,1
59153915002,0.0634,0.064,0.0481,0.0078,0.0602,0.0563,0.0726,0.155,0.0132,0.0152,1
59153915003,0.0648,0.0607,0.0544,0.009,0.0828,0.0582,0.0751,0.1401,0.012,0.0141,1
59153915004,0.0696,0.1085,0.0628,0.0117,0.1376,0.0353,0.0455,0.1403,0.0305,0.0168,1
